GeoName,LineCode,Description,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Montezuma, CO",1,Personal income (thousands of dollars),789254,772706,785270,826516,869488,909726,1008577,1040264,1029465,1054192,1124740
"Montezuma, CO",2,Population (persons) 1/,25222,25507,25577,25474,25475,25544,25516,25722,25999,26148,26158
"Montezuma, CO",3,Per capita personal income (dollars) 2/,31292,30294,30702,32445,34131,35614,39527,40443,39596,40316,42998
"Montrose, CO",1,Personal income (thousands of dollars),1274566,1237399,1223095,1249681,1297104,1309795,1386552,1446629,1491837,1573763,1685601
"Montrose, CO",2,Population (persons) 1/,40658,41535,41186,40972,40654,40555,40596,40576,41168,41785,42214
"Montrose, CO",3,Per capita personal income (dollars) 2/,31348,29792,29697,30501,31906,32297,34155,35652,36238,37663,39930
"Morgan, CO",1,Personal income (thousands of dollars),806758,778893,873047,973928,1017223,1035067,1132811,1178298,1176782,1213411,1304668
"Morgan, CO",2,Population (persons) 1/,27701,28099,28243,28453,28257,28236,28120,28237,28143,28228,28558
"Morgan, CO",3,Per capita personal income (dollars) 2/,29124,27720,30912,34229,35999,36658,40285,41729,41814,42986,45685
"Otero, CO",1,Personal income (thousands of dollars),529093,532139,552539,580873,587501,595484,618704,659927,651444,666082,703911
"Otero, CO",2,Population (persons) 1/,18726,18743,18888,18867,18660,18481,18367,18210,18212,18403,18432
"Otero, CO",3,Per capita personal income (dollars) 2/,28254,28391,29253,30788,31485,32221,33686,36240,35770,36194,38190
"Ouray, CO",1,Personal income (thousands of dollars),191579,183775,172261,182526,197931,217494,235271,248761,265491,269366,288235
"Ouray, CO",2,Population (persons) 1/,4405,4395,4456,4423,4506,4552,4574,4607,4788,4809,4833
"Ouray, CO",3,Per capita personal income (dollars) 2/,43491,41815,38658,41267,43926,47780,51437,53996,55449,56013,59639
"Park, CO",1,Personal income (thousands of dollars),560187,529786,523809,556766,575262,592098,619076,667319,717587,775573,837121
"Park, CO",2,Population (persons) 1/,16394,16098,16280,16055,16048,16184,16384,16736,17362,17920,18556
"Park, CO",3,Per capita personal income (dollars) 2/,34170,32910,32175,34679,35846,36585,37785,39873,41331,43280,45113
"Phillips, CO",1,Personal income (thousands of dollars),146281,152480,163629,192367,184538,183484,188482,179437,188772,183284,190292
"Phillips, CO",2,Population (persons) 1/,4349,4359,4470,4400,4416,4385,4395,4329,4283,4297,4286
"Phillips, CO",3,Per capita personal income (dollars) 2/,33636,34981,36606,43720,41788,41844,42886,41450,44075,42654,44399
"Pitkin, CO",1,Personal income (thousands of dollars),1992677,1562976,1588177,1640545,1951363,1803962,2244311,2353076,2450079,2483273,2678258
"Pitkin, CO",2,Population (persons) 1/,16454,17008,17160,17175,17299,17469,17726,17948,17967,17952,17950
"Pitkin, CO",3,Per capita personal income (dollars) 2/,121106,91897,92551,95519,112802,103266,126611,131105,136366,138328,149207
"Prowers, CO",1,Personal income (thousands of dollars),375535,392271,409120,424864,445709,473162,463706,497681,490179,483646,514038
"Prowers, CO",2,Population (persons) 1/,12663,12593,12575,12529,12450,12345,12089,11971,11967,12071,12164
"Prowers, CO",3,Per capita personal income (dollars) 2/,29656,31150,32534,33910,35800,38328,38358,41574,40961,40067,42259
"Pueblo, CO",1,Personal income (thousands of dollars),4492272,4539445,4721180,4931525,5090276,5164653,5479349,5796021,5973221,6247636,6619192
"Pueblo, CO",2,Population (persons) 1/,156748,157846,159466,160248,160810,161145,161480,163111,164877,166426,167529
"Pueblo, CO",3,Per capita personal income (dollars) 2/,28659,28759,29606,30774,31654,32050,33932,35534,36228,37540,39511
"Rio Blanco, CO",1,Personal income (thousands of dollars),268114,257687,259131,278897,280748,296464,306315,297738,276412,283154,296584
"Rio Blanco, CO",2,Population (persons) 1/,6522,6779,6675,6782,6808,6747,6625,6503,6469,6394,6336
"Rio Blanco, CO",3,Per capita personal income (dollars) 2/,41109,38013,38821,41123,41238,43940,46236,45785,42729,44284,46809
"Rio Grande, CO",1,Personal income (thousands of dollars),372511,379529,380776,411311,415985,425201,444009,491350,493428,493047,525570
"Rio Grande, CO",2,Population (persons) 1/,11860,11872,12023,11914,11867,11679,11508,11356,11337,11306,11250
"Rio Grande, CO",3,Per capita personal income (dollars) 2/,31409,31968,31671,34523,35054,36407,38583,43268,43524,43609,46717
"Routt, CO",1,Personal income (thousands of dollars),1210578,1154181,1201883,1403202,1410590,1420842,1572995,1699274,1720917,1983395,2153906
"Routt, CO",2,Population (persons) 1/,23135,23688,23448,23264,23285,23612,24083,24422,24787,25346,25733
"Routt, CO",3,Per capita personal income (dollars) 2/,52327,48724,51257,60316,60579,60175,65316,69580,69428,78253,83702
"Saguache, CO",1,Personal income (thousands of dollars),157277,153283,156148,173911,165886,164891,173038,195763,194509,191621,206468
"Saguache, CO",2,Population (persons) 1/,6179,6134,6136,6187,6331,6242,6198,6251,6406,6643,6843
"Saguache, CO",3,Per capita personal income (dollars) 2/,25453,24989,25448,28109,26202,26416,27918,31317,30364,28846,30172
"San Juan, CO",1,Personal income (thousands of dollars),28560,25813,23665,27481,31436,38577,36349,40202,32134,32151,33550
"San Juan, CO",2,Population (persons) 1/,670,657,708,690,692,691,711,688,689,711,762
"San Juan, CO",3,Per capita personal income (dollars) 2/,42627,39289,33425,39828,45428,55828,51124,58433,46639,45219,44029
"San Miguel, CO",1,Personal income (thousands of dollars),392695,375356,358306,381518,402801,474026,568987,621753,603838,646565,699770
"San Miguel, CO",2,Population (persons) 1/,7366,7379,7357,7486,7581,7622,7740,7840,8023,8047,8191
"San Miguel, CO",3,Per capita personal income (dollars) 2/,53312,50868,48703,50964,53133,62192,73513,79305,75263,80349,85432
"Sedgwick, CO",1,Personal income (thousands of dollars),97523,88376,97882,111814,115990,120693,126836,121488,115778,113503,112857
"Sedgwick, CO",2,Population (persons) 1/,2421,2392,2371,2371,2377,2339,2333,2375,2405,2334,2303
"Sedgwick, CO",3,Per capita personal income (dollars) 2/,40282,36946,41283,47159,48797,51600,54366,51153,48141,48630,49004
"Summit, CO",1,Personal income (thousands of dollars),1281286,1147944,1210116,1294332,1370008,1477753,1629737,1777923,1872263,1971898,2101140
"Summit, CO",2,Population (persons) 1/,27144,27678,28077,28046,28307,28738,29330,30126,30676,31004,31007
"Summit, CO",3,Per capita personal income (dollars) 2/,47203,41475,43100,46150,48398,51422,55566,59016,61033,63601,67763
"Teller, CO",1,Personal income (thousands of dollars),870701,884720,909235,962276,984333,988933,1030450,1074238,1107015,1162030,1233999
"Teller, CO",2,Population (persons) 1/,22725,22937,23469,23366,23442,23354,23430,23377,24036,24638,25083
"Teller, CO",3,Per capita personal income (dollars) 2/,38315,38572,38742,41183,41990,42345,43980,45953,46057,47164,49197
"Washington, CO",1,Personal income (thousands of dollars),139651,156165,171608,194208,190102,196745,208646,197605,194068,187917,219367
"Washington, CO",2,Population (persons) 1/,4792,4800,4821,4762,4700,4742,4732,4786,4836,4936,4909
"Washington, CO",3,Per capita personal income (dollars) 2/,29143,32534,35596,40783,40447,41490,44093,41288,40130,38071,44687
"Weld, CO*",1,Personal income (thousands of dollars),8219182,8084319,8412326,9073250,9796051,10480379,11688971,12486367,12869939,13484839,14512128
"Weld, CO*",2,Population (persons) 1/,243442,248193,254198,258783,264058,270126,276037,285033,294965,305274,314305
"Weld, CO*",3,Per capita personal income (dollars) 2/,33762,32573,33094,35061,37098,38798,42346,43807,43632,44173,46172
"Yuma, CO",1,Personal income (thousands of dollars),399137,340032,394675,454915,505736,508949,537201,551433,526757,501370,504644
"Yuma, CO",2,Population (persons) 1/,9843,10022,10049,10134,10103,10135,10182,10050,10080,10015,10020
"Yuma, CO",3,Per capita personal income (dollars) 2/,40550,33929,39275,44890,50058,50217,52760,54869,52258,50062,50364
"Accomack, VA",1,Personal income (thousands of dollars),1089135,1092338,1114647,1131424,1185059,1192333,1234064,1281707,1288081,1325930,1386063
"Accomack, VA",2,Population (persons) 1/,33970,33415,33147,33221,33264,32966,32970,32910,32850,32566,32412
"Accomack, VA",3,Per capita personal income (dollars) 2/,32062,32690,33627,34057,35626,36169,37430,38946,39211,40715,42764
"Amelia, VA",1,Personal income (thousands of dollars),418772,404473,427673,437706,460323,494560,511085,539074,542679,558329,582640
"Amelia, VA",2,Population (persons) 1/,12563,12594,12746,12752,12747,12659,12716,12782,12793,12965,13013
"Amelia, VA",3,Per capita personal income (dollars) 2/,33334,32116,33554,34324,36112,39068,40192,42174,42420,43064,44774
"Amherst, VA",1,Personal income (thousands of dollars),962070,964859,968549,996085,1026268,1017507,1061049,1092975,1105282,1132008,1176695
"Amherst, VA",2,Population (persons) 1/,32510,32447,32388,32149,32628,32316,32158,31832,31889,31863,31666
"Amherst, VA",3,Per capita personal income (dollars) 2/,29593,29736,29905,30983,31454,31486,32995,34336,34660,35527,37160
"Appomattox, VA",1,Personal income (thousands of dollars),453196,460631,464353,480608,484389,496479,518636,550805,557406,576654,606746
"Appomattox, VA",2,Population (persons) 1/,14795,14812,15099,15108,15245,15320,15348,15485,15512,15701,15841
"Appomattox, VA",3,Per capita personal income (dollars) 2/,30632,31099,30754,31811,31774,32407,33792,35570,35934,36727,38302
"Arlington, VA",1,Personal income (thousands of dollars),15248499,15102970,16657883,17874216,18725715,18008788,19000758,19861847,20314026,21370953,22611442
"Arlington, VA",2,Population (persons) 1/,196305,202637,209287,215972,221463,224938,226043,228746,231582,235121,237521
"Arlington, VA",3,Per capita personal income (dollars) 2/,77678,74532,79593,82762,84555,80061,84058,86829,87719,90893,95198
"Bath, VA",1,Personal income (thousands of dollars),179091,170769,182742,206447,232560,215560,226762,243786,249822,257281,264509
"Bath, VA",2,Population (persons) 1/,4778,4743,4721,4655,4642,4592,4535,4456,4399,4285,4292
"Bath, VA",3,Per capita personal income (dollars) 2/,37482,36004,38708,44350,50099,46943,50003,54710,56791,60042,61628
"Bedford, VA*",1,Personal income (thousands of dollars),2691743,2685089,2721210,2844042,2982142,3010686,3143770,3312480,3336824,3489643,3678030
"Bedford, VA*",2,Population (persons) 1/,73744,74573,75045,75557,75759,76187,77046,77598,77911,78239,78747
"Bedford, VA*",3,Per capita personal income (dollars) 2/,36501,36006,36261,37641,39364,39517,40804,42688,42829,44602,46707
"Bland, VA",1,Personal income (thousands of dollars),185608,189283,190206,204021,207433,207788,208159,217204,215791,224389,234863
"Bland, VA",2,Population (persons) 1/,6921,6868,6799,6774,6694,6674,6585,6534,6472,6351,6293
"Bland, VA",3,Per capita personal income (dollars) 2/,26818,27560,27976,30118,30988,31134,31611,33242,33342,35331,37321
"Botetourt, VA",1,Personal income (thousands of dollars),1326224,1292500,1305705,1368515,1419658,1434129,1492412,1565813,1575058,1602913,1672975
"Botetourt, VA",2,Population (persons) 1/,32955,33042,33197,32999,33120,32991,33077,33344,33177,33236,33277
"Botetourt, VA",3,Per capita personal income (dollars) 2/,40243,39117,39332,41471,42864,43470,45119,46959,47474,48228,50274
"Brunswick, VA",1,Personal income (thousands of dollars),463575,469255,463660,469928,475680,476124,486889,511983,515255,525942,535459
"Brunswick, VA",2,Population (persons) 1/,17791,17507,17402,17126,17032,16984,16826,16856,16642,16616,16384
"Brunswick, VA",3,Per capita personal income (dollars) 2/,26057,26804,26644,27439,27929,28034,28937,30374,30961,31653,32682
"Buchanan, VA",1,Personal income (thousands of dollars),714650,706805,722844,765504,772296,744324,741618,726602,699824,740660,768811
"Buchanan, VA",2,Population (persons) 1/,24371,24234,24082,23817,23816,23618,23144,22705,22118,21500,21221
"Buchanan, VA",3,Per capita personal income (dollars) 2/,29324,29166,30016,32141,32428,31515,32044,32002,31640,34449,36229
